REGION,PROVINCIA,COMUNA,LATITUD,LONGITUD,INICIO,TERMINO,SUPERFICIE
Biobío,Arauco,Cañete,"37°58'26"" S","73°27'14"" O",2/1/2020,10/1/2020,1232
Biobío,Arauco,Arauco,"37°16'12"" S","73°29'52"" O",30/12/2019,8/1/2020,350
Biobío,Biobio,Nacimiento,"37°27'39"" S","72°44'53"" O",16/1/2020,21/1/2020,226
Biobío,Concepción,Santa Juana,"37°15'51"" S","72°58'12"" O",16/1/2020,23/1/2020,414
Biobío,Concepción,Chiguayante,"36°55'00"" S","73°01'26"" O",24/1/2020,6/4/2020,1195
Biobío,Concepción,Santa Juana,"37°20'36"" S","72°52'16"" O",25/1/2020,4/2/2020,1025
Biobío,Biobio,Los Angeles,"37°12'35"" S","72°16'50"" O",27/1/2020,24/3/2020,446
Biobío,Biobio,Quilleco,"37°23'32"" S","71°40'25"" O",20/2/2020,12/3/2020,540
Biobío,Biobio,Alto Biobío,"37°43'38"" S","71°31'60"" O",26/2/2020,26/3/2020,601
Araucanía,Malleco,Angol,"37°50'26"" S","72°43'45"" O",22/1/2020,24/4/2020,262
Araucanía,Malleco,Lumaco,"38°12'26"" S","72°49'55"" O",24/1/2020,24/4/2020,385
Araucanía,Malleco,Victoria,"38°14'15"" S","72°15'27"" O",1/2/2020,6/2/2020,300
Araucanía,Malleco,Ercilla,"38°03'26"" S","72°30'25"" O",9/2/2020,3/4/2020,220
Araucanía,Malleco,Traiguén,"38°07'05"" S","72°32'22"" O",27/1/2020,24/4/2020,956
Araucanía,Malleco,Renaico,"37°41'24"" S","72°39'32"" O",12/2/2020,24/4/2020,1412
Araucanía,Malleco,Collipulli,"38°03'15"" S","72°06'26"" O",21/2/2020,3/4/2020,223
Araucanía,Malleco,Traiguén,"38°07'25"" S","72°12'27"" O",22/3/2020,24/4/2020,459
Araucanía,Malleco,Victoria,"38°10'45"" S","72°21'35"" O",22/3/2020,24/4/2020,550
Araucanía,Malleco,Angol,"37°53'11"" S","72°43'03"" O",17/1/2020,17/1/2020,200
Araucanía,Malleco,Lumaco,"38°10'32"" S","72°55'51"" O",24/1/2020,2/2/2020,867
Araucanía,Malleco,Lumaco,"38°14'26"" S","72°55'10"" O",21/12/2019,3/1/2020,215
Araucanía,Malleco,Traiguén,"38°11'38"" S","72°39'22"" O",4/1/2020,11/1/2020,827
Araucanía,Malleco,Ercilla,"38°02'05"" S","72°33'46"" O",16/1/2020,24/1/2020,1293
Araucanía,Malleco,Angol,"37°54'08"" S","72°43'52"" O",16/1/2020,25/1/2020,285
Araucanía,Malleco,Victoria,"38°11'24"" S","72°23'51"" O",17/1/2020,21/1/2020,344
Araucanía,Malleco,Lumaco,"38°10'50"" S","73°02'50"" O",25/1/2020,4/2/2020,209
Araucanía,Cautín,Perquenco,"38°25'28"" S","72°30'26"" O",27/1/2020,4/2/2020,736
Araucanía,Malleco,Lumaco,"38°16'45"" S","72°52'36"" O",28/1/2020,2/2/2020,247
Araucanía,Malleco,Victoria,"38°14'33"" S","72°18'21"" O",29/1/2020,4/2/2020,373
Araucanía,Cautín,Pitrufquén,"39°02'33"" S","72°42'55"" O",2/2/2020,30/4/2020,584
Araucanía,Malleco,Victoria,"38°14'55"" S","72°19'39"" O",2/2/2020,4/2/2020,759
Araucanía,Malleco,Victoria,"38°17'51"" S","72°16'51"" O",3/2/2020,8/2/2020,334
Araucanía,Malleco,Ercilla,"38°04'05"" S","72°25'01"" O",7/2/2020,8/2/2020,218
Araucanía,Cautín,Galvarino,"38°27'02"" S","72°52'35"" O",9/2/2020,17/2/2020,220
Araucanía,Cautín,Galvarino,"38°20'57"" S","72°45'35"" O",10/2/2020,15/2/2020,334
Araucanía,Cautín,Galvarino,"38°28'05"" S","72°41'41"" O",10/2/2020,14/2/2020,262
Araucanía,Malleco,Los Sauces,"38°05'51"" S","72°52'06"" O",10/2/2020,15/2/2020,591
Araucanía,Cautín,Carahue,"38°26'32"" S","73°21'33"" O",20/2/2020,26/2/2020,218
Araucanía,Malleco,Los Sauces,"38°04'03"" S","72°41'08"" O",20/2/2020,26/2/2020,285
Araucanía,Malleco,Traiguén,"38°21'34"" S","72°50'57"" O",20/2/2020,7/3/2020,1143
Araucanía,Malleco,Victoria,"38°22'24"" S","72°17'27"" O",21/2/2020,24/2/2020,833
Araucanía,Malleco,Los Sauces,"38°04'28"" S","72°34'04"" O",21/2/2020,7/3/2020,521
Araucanía,Malleco,Victoria,"38°20'37"" S","72°18'02"" O",22/2/2020,26/2/2020,332
Araucanía,Malleco,Victoria,"38°16'29"" S","72°24'19"" O",26/2/2020,7/3/2020,248
Araucanía,Malleco,Ercilla,"38°06'16"" S","72°20'37"" O",29/2/2020,7/3/2020,225
Araucanía,Malleco,Ercilla,"38°05'48"" S","72°17'19"" O",29/2/2020,7/3/2020,368
Araucanía,Malleco,Traiguén,"38°17'27"" S","72°44'12"" O",2/3/2020,24/3/2020,2514
Araucanía,Malleco,Traiguén,"38°14'54"" S","72°46'24"" O",3/3/2020,13/3/2020,256
Araucanía,Malleco,Ercilla,"38°10'20"" S","72°24'54"" O",3/3/2020,7/3/2020,783
Araucanía,Cautín,Carahue,"38°27'58"" S","73°21'58"" O",4/3/2020,15/3/2020,587
Araucanía,Malleco,Los Sauces,"37°55'34"" S","72°39'10"" O",6/3/2020,24/3/2020,1369
Araucanía,Malleco,Victoria,"38°19'21"" S","72°26'11"" O",21/3/2020,24/3/2020,2322
Araucanía,Malleco,Traiguén,"38°14'22"" S","72°34'33"" O",23/3/2020,28/3/2020,558
Araucanía,Malleco,Angol,"37°53'37"" S","72°41'23"" O",29/3/2020,2/4/2020,211
Valparaíso,Valparaíso,Puchuncavi,"32°45'57"" S","71°18'12"" O",2/1/2019,10/1/2019,320
Valparaíso,San Antonio,Santo Domingo,"33°54'58"" S","71°44'01"" O",2/1/2019,15/1/2019,1840
Valparaíso,Valparaíso,Casablanca,"33°15'43"" S","71°26'02"" O",26/1/2019,30/1/2019,253
Valparaíso,San Antonio,San Antonio,"33°44'46"" S","71°24'15"" O",28/1/2019,31/1/2019,216
Metropolitana,Melipilla,Melipilla,"33°49'39"" S","71°02'24"" O",10/12/2018,16/12/2018,337
Metropolitana,Talagante,Padre Hurtado,"33°32'38"" S","70°55'02"" O",11/12/2018,12/12/2018,213
Metropolitana,Santiago,Pudahuel,"33°25'39"" S","70°56'43"" O",24/2/2019,2/3/2019,691
O'Higgins,Cardenal Caro,Navidad,"34°03'31"" S","71°56'22"" O",2/1/2019,5/1/2019,337
O'Higgins,Cachapoal,Requínoa,"34°20'13"" S","70°42'25"" O",28/1/2019,1/2/2019,271
O'Higgins,Cardenal Caro,Paredones,"34°33'34"" S","71°51'05"" O",25/2/2019,2/3/2019,1282
O'Higgins,Cachapoal,Rengo,"34°30'45"" S","70°39'13"" O",3/3/2019,6/3/2019,320
O'Higgins,Cardenal Caro,Paredones,"34°36'02"" S","71°49'53"" O",21/3/2019,25/3/2019,1231
Maule,Curicó,Romeral,"35°03'41"" S","71°01'01"" O",28/2/2019,6/3/2019,580
Maule,Linares,Parral,"36°20'15"" S","71°35'38"" O",12/2/2019,28/2/2019,518
Maule,Cauquenes,Cauquenes,"35°57'41"" S","72°14'58"" O",2/1/2019,5/1/2019,232
Maule,Linares,Parral,"36°20'07"" S","71°23'26"" O",15/2/2019,3/4/2019,680
Maule,Linares,Longaví,"36°15'14"" S","71°13'29"" O",20/2/2019,12/4/2019,250
Maule,Talca,Pencahue,"35°17'59"" S","71°57'39"" O",1/3/2019,8/3/2019,1100
Maule,Linares,Longaví,"36°19'33"" S","71°12'51"" O",8/3/2019,12/4/2019,260
Maule,Linares,Colbún,"35°47'25"" S","71°04'51"" O",9/3/2019,3/4/2019,300
Ñuble,Punilla,Coihueco,"36°34'56"" S","71°32'07"" O",8/3/2019,12/4/2019,997
Ñuble,Punilla,Ñiquén,"36°10'31"" S","72°04'59"" O",3/1/2019,4/1/2019,265
Ñuble,Itata,Coelemu,"36°33'28"" S","72°42'58"" O",14/2/2019,28/2/2019,293
Ñuble,Punilla,Coihueco,"36°52'05"" S","71°17'45"" O",16/4/2019,3/5/2019,323
Biobío,Biobio,Quilaco,"37°47'42"" S","71°53'54"" O",3/2/2019,15/3/2019,699
Biobío,Biobio,Nacimiento,"37°27'16"" S","72°45'37"" O",14/2/2019,15/3/2019,2662
Biobío,Arauco,Cañete,"37°53'26"" S","73°29'47"" O",13/2/2019,13/3/2019,1752
Biobío,Arauco,Tirúa,"38°16'57"" S","73°20'55"" O",3/2/2019,5/3/2019,677
Araucanía,Malleco,Ercilla,"38°06'50"" S","72°17'41"" O",28/2/2019,18/3/2019,481
Araucanía,Malleco,Lumaco,"38°09'36"" S","72°55'36"" O",7/4/2019,12/4/2019,200
Araucanía,Cautín,Temuco,"38°41'04"" S","72°44'09"" O",2/2/2019,4/2/2019,379
Araucanía,Cautín,Cholchol,"38°37'08"" S","72°57'25"" O",2/2/2019,17/2/2019,2349
Araucanía,Malleco,Lonquimay,"38°20'24"" S","71°07'09"" O",2/2/2019,13/3/2019,352
Araucanía,Cautín,Carahue,"38°47'01"" S","73°03'43"" O",2/2/2019,17/2/2019,1611
Araucanía,Cautín,Temuco,"38°33'22"" S","72°39'57"" O",3/2/2019,13/2/2019,1616
Araucanía,Cautín,Galvarino,"38°30'22"" S","72°39'03"" O",3/2/2019,13/2/2019,1601
Araucanía,Cautín,Nueva Imperial,"38°52'48"" S","72°54'16"" O",2/2/2019,8/2/2019,200
Araucanía,Cautín,Carahue,"38°44'49"" S","73°10'29"" O",3/2/2019,17/2/2019,847
Araucanía,Cautín,Carahue,"38°38'43"" S","73°09'56"" O",2/2/2019,17/2/2019,699
Araucanía,Malleco,Traiguén,"38°23'44"" S","72°40'22"" O",4/2/2019,9/2/2019,835
Araucanía,Malleco,Traiguén,"38°17'58"" S","72°36'07"" O",5/2/2019,13/2/2019,272
Araucanía,Malleco,Traiguén,"38°19'55"" S","72°48'36"" O",8/2/2019,13/2/2019,930
Araucanía,Malleco,Traiguén,"38°18'54"" S","72°39'02"" O",12/2/2019,22/2/2019,493
Araucanía,Cautín,Freire,"38°58'16"" S","72°43'15"" O",12/2/2019,22/2/2019,223
Araucanía,Cautín,Pitrufquén,"39°01'24"" S","72°37'39"" O",15/2/2019,15/4/2019,361
Araucanía,Malleco,Lumaco,"38°19'14"" S","72°56'52"" O",15/2/2019,2/3/2019,704
Araucanía,Cautín,Cholchol,"38°39'24"" S","72°53'32"" O",15/2/2019,19/2/2019,303
Araucanía,Cautín,Cunco,"38°55'49"" S","72°19'32"" O",9/3/2019,23/3/2019,626
Araucanía,Cautín,Galvarino,"38°20'36"" S","72°47'52"" O",9/3/2019,19/3/2019,1010
Araucanía,Cautín,Perquenco,"38°26'06"" S","72°23'59"" O",9/3/2019,12/3/2019,1392
Araucanía,Cautín,Freire,"38°55'31"" S","72°23'30"" O",9/3/2019,23/3/2019,277
Araucanía,Cautín,Galvarino,"38°32'48"" S","72°45'16"" O",9/3/2019,17/3/2019,453
Los Lagos,Chiloé,Ancud,"42°01'07"" S","73°36'43"" O",2/2/2019,20/3/2019,569
Aysén,General Carrera,Río Ibáñez,"46°22'55"" S","71°55'28"" O",14-sep-2018 11:40,17-sep-2018 16:09,288
Aysén,Capitán Prat,Cochrane,"47°19'09"" S","72°55'09"" O",4/2/2019,28/5/2019,15145
Aysén,General Carrera,Chile Chico,"46°40'03"" S","72°38'18"" O",5/2/2019,4/3/2019,207
